year,event_rank,event_text,source_url,source_element_index
1960,2,"President Eisenhower signed the Civil Rights Act of 1960 enabling federal judges to appoint referees to hear persons claiming that state election officials had denied minorities the right to register and vote. Though well intended, the statute proved ineffective, making it necessary for President Lyndon B. Johnson to persuade Congress to pass the Voting Rights Act in 1965.",https://www.baseball-almanac.com/yearly/yr1960a.shtml,60
1960,3,"On Opening Day, ""Teddy Baseball"" (Ted Williams) tied the ""Iron Horse"" (Lou Gehrig) with the 493rd home run of his career. The 500' blast in his first at-bat remained the only bright moment for Boston as the Washington Senators' Camilo Pascual struck out 11 Red Sox batters on the way to a 10-1 victory. Williams hit number 500 later that season with a 3-1 win over the Cleveland Indians on June 17.",https://www.baseball-almanac.com/yearly/yr1960a.shtml,62
1960,4,American League Most Valuable Player Roger Maris debuted as a New York Yankee against the Boston Red Sox with 2 home runs and 4 RBIs en route to an 8-4 win at Fenway Park.,https://www.baseball-almanac.com/yearly/yr1960a.shtml,63
1960,5,Baltimore Orioles catcher Clint Courtney became the first at his position to complete 2 career unassisted double plays during a 5-3 loss to the New York Yankees.,https://www.baseball-almanac.com/yearly/yr1960a.shtml,64
1960,6,George Crowe of the St. Louis Cardinals hit four-pinch homers for a Major League career record of fourteen.,https://www.baseball-almanac.com/yearly/yr1960a.shtml,65
1960,7,"The Los Angeles Dodgers set an all-time National League record for attendance with 2,253,887 coming out to the Coliseum.",https://www.baseball-almanac.com/yearly/yr1960a.shtml,67
1960,8,"Television icon Gene Autry attended the annual American League owners meeting while investigating possible broadcasting opportunities. After realizing Autry's true respect for the game of baseball as well as his political connections in California, American League President Joe Cronin nominated him for ownership. The result was the birth of the California Angels expansion franchise.",https://www.baseball-almanac.com/yearly/yr1960a.shtml,69
1960,9,"The Sporting News named Boston Red Sox icon Ted Williams as their ""Player of the Decade"" for the 1950s.",https://www.baseball-almanac.com/yearly/yr1960a.shtml,70
1960,10,The last remaining chapter in the Negro Leagues disbanded after a steady decline in talent due to the inclusion and rapid growth of African-American players in the Major Leagues.,https://www.baseball-almanac.com/yearly/yr1960a.shtml,71
1960,11,← 1959 | 1960 Hitting Statistics League Leaders | 1961 →,https://www.baseball-almanac.com/yearly/yr1960a.shtml,73
1960,12,← 1959 | 1960 Pitching Statistics League Leaders | 1961 →,https://www.baseball-almanac.com/yearly/yr1960a.shtml,74
1960,13,1960 All-Star Game | 1960 Team Standings | 1960 World Series,https://www.baseball-almanac.com/yearly/yr1960a.shtml,75
1960,14,Hitting Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1960a.shtml,76
1960,15,Pitching Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1960a.shtml,77
1960,16,"Ted Williams hit some interesting home runs in 1960 including: June 17, when he joined the 500 Home Runs Club; September 2, when he hit a home run off Don Lee - the son of pitcher Thornton Lee who Williams hit a home run off of twenty years earlier; and September 26, when Williams hit a home run in his final major league at-bat.",https://www.baseball-almanac.com/yearly/yr1960a.shtml,78
1960,17,"On April 19, 1960, Roger Maris made his debut in a New York Yankees uniform and responded in style with four hits, four runs batted in, and two home runs.",https://www.baseball-almanac.com/yearly/yr1960a.shtml,79
1960,18,"On September 10, 1960, Mickey Mantle hit a home run over the right-field roof at Tiger Stadium. Did you know that this was the third time during his career where he cleared the roof at Tiger Stadium and the first time the ball cleared Trumbull Avenue?",https://www.baseball-almanac.com/yearly/yr1960a.shtml,80
1960,11,"""There wasn't any one thing (that caused him to resign after an Opening Day loss in 1960), just a lot of things. I'm forty-nine and I want to live to be fifty."" - Phillies Manager Eddie Sawyer",https://www.baseball-almanac.com/yearly/yr1960n.shtml,72
1960,17,"On July 19, 1960, Juan Marichal of the San Francisco Giants made his Major League debut and pitched a one-hitter, twelve strikeout, 2-0 victory versus the Philadelphia Phillies. Did you know that the lone single was hit by Clay Dalrymple?",https://www.baseball-almanac.com/yearly/yr1960n.shtml,78
1960,18,"On August 18, 1960, Lew Burdette of the Milwaukee Braves hit Tony Gonzalez of the Philadelphia Phillies during the fifth inning. Burdette went on to record a complete game, no-hit, no-walk, 1-0, victory.",https://www.baseball-almanac.com/yearly/yr1960n.shtml,79
1960,19,"On September 16, 1960, Warren Spahn joined the twenty-wins club, for the eleventh time during his career, in style when he tossed a 4-0 no-hitter versus the Philadelphia Phillies.",https://www.baseball-almanac.com/yearly/yr1960n.shtml,80
1961,1,New York's newly crowned single-season home run champion Roger Maris beat out Yankee teammate Mickey Mantle by 4 votes for the American League Most Valuable Player Award.,https://www.baseball-almanac.com/yearly/yr1961a.shtml,62
1961,2,"On September 15, the New York Yankees also broke the all-time home run record (for a team) with 223 round-trippers. The combined franchise mark had been previously held by the 1947 New York Giants and the 1956 Cincinnati Reds.",https://www.baseball-almanac.com/yearly/yr1961a.shtml,63
1961,3,Baltimore Orioles slugger Jim Gentile tied Ernie Banks' Major League record for most grand slams in a season after hitting his 5th off of the Chicago White Sox' Don Larsen.,https://www.baseball-almanac.com/yearly/yr1961a.shtml,64
1961,4,"On September 15, Los Angeles Dodgers ace Sandy Koufax set down 10 Milwaukee Braves bringing his season total to 243 — a National League record for left-handed pitchers. The New York Giants' Rube Marquard had held the National League lefty record previously after fanning 237 in 1911.",https://www.baseball-almanac.com/yearly/yr1961a.shtml,65
1961,5,"The San Francisco Giants set a new precedent for Major League salaries after signing Willie Mays to an $85,000 contract — the highest in their history and the most paid to any player in 1961.",https://www.baseball-almanac.com/yearly/yr1961a.shtml,66
1961,6,"The National League's newest franchise was officially christened as the ""Mets"" after New York fans were asked to vote on a list of finalists submitted by mail. Other names selected for the ballot included the ""Burros"", ""Skyliners"", ""Rebels"" and ""Skyscrapers"".",https://www.baseball-almanac.com/yearly/yr1961a.shtml,67
1961,7,"Political tensions between the United States and Cuba initially prevented all Cuban players, including Minnie Minoso of the Chicago White Sox and Camilo Pascual and Pedro Ramos of the Minnesota Twins, from returning to the U.S. for the 1961 season. After several negotiations, a high-ranking foreign ministry official finally permitted their unconditional return.",https://www.baseball-almanac.com/yearly/yr1961a.shtml,68
1961,8,← 1960 | 1961 Hitting Statistics League Leaders | 1962 →,https://www.baseball-almanac.com/yearly/yr1961a.shtml,72
1961,9,← 1960 | 1961 Pitching Statistics League Leaders | 1962 →,https://www.baseball-almanac.com/yearly/yr1961a.shtml,73
1961,10,1961 All-Star Game | 1961 Team Standings | 1961 World Series,https://www.baseball-almanac.com/yearly/yr1961a.shtml,74
1961,11,Hitting Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1961a.shtml,75
1961,12,Pitching Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1961a.shtml,76
1961,13,"Did you know that sixty-first home run ball hit by Roger Maris on October 1st in Yankee Stadium landed in Box 163D, Section 33? The historic ball was retrieved by Sal Durante who won a trip to Sacramento, a trip to Seattle World's Fair, and received $5,000 for the ball.",https://www.baseball-almanac.com/yearly/yr1961a.shtml,77
1961,14,"Norm Cash of the Detroit Tigers led the American League with nineteen intentional bases on balls. Johnny Blanchard, Mickey Mantle, and Bill Skowron led the New York Yankees with nine each. Roger Maris, who batted after Mantle, led the league in runs scored, runs batted in, home runs, and total bases yet he did not receive a single intentional pass during 1961.",https://www.baseball-almanac.com/yearly/yr1961a.shtml,78
1961,15,"On July 17, 1961, former Tiger superstar Ty Cobb died in Emory University Hospital in Atlanta, Georgia. Mickey Cochrane, Nap Rucker, and Ray Schalk were the only former Major League players to attend his funeral.",https://www.baseball-almanac.com/yearly/yr1961a.shtml,79
1961,8,"""When I'm not hitting, I don't hit nobody. But, when I'm hitting, I hit anybody."" - Willie Mays",https://www.baseball-almanac.com/yearly/yr1961n.shtml,71
1961,14,"On April 28, 1961, Warren Spahn of the Milwaukee Braves threw a 1-0 no-hitter versus the San Francisco Giants. Did you know that Spahn had turned forty on the April 23, 1961, making him the second oldest pitcher in Major League history to toss a gem?",https://www.baseball-almanac.com/yearly/yr1961n.shtml,77
1961,15,"On April 30, 1961, Joey Amalfitano's baseball bat joined a truly elite club when it was literally borrowed by Willie Mays who proceeded to slam four home runs during one game with his teammate's bat.",https://www.baseball-almanac.com/yearly/yr1961n.shtml,78
1961,16,"On June 10, 1961, Sandy ""The Scatter Arm"" Koufax reportedly got his control this season and the New York Times even published an article that stated he ""has zeroed in on home plate."" Koufax continued to respond throughout the season and appeared in his first All-Star Game, lead the league in strikeouts, and began a reign of dominance that lasted until his retirement in 1966.",https://www.baseball-almanac.com/yearly/yr1961n.shtml,79
1962,1,"On February 20, 1962, astronaut John Glenn became the first American to orbit the Earth. Flying aboard his spacecraft, Friendship Seven, the Marine Lieutenant travelled roughly 81,000 miles as he circled our planet three times at speeds greater than 17,000 mph.",https://www.baseball-almanac.com/yearly/yr1962n.shtml,60
1962,2,The Baltimore Orioles' Brooks Robinson became only the fifth player in Major League history to hit grand slams in back-to-back games after knocking out a bases loaded round-tripper on May 6th and May 9th.,https://www.baseball-almanac.com/yearly/yr1962n.shtml,62
1962,3,"After missing thirty games due to recurring knee injuries, New York's Mickey Mantle limped to the plate as a pinch hitter and launched a four-hundred twenty foot blast off of Gary Bell of the Cleveland Indians. The home team crowd showed their respects by giving the visiting Yankee a standing ovation.",https://www.baseball-almanac.com/yearly/yr1962n.shtml,63
1962,4,"Earl Wilson became the first black pitcher to throw a no-hitter in the American League as the Boston Red Sox topped the California Angels 2-0 on June 26th at Fenway Park. Wilson also dominated at the plate with a four-hundred foot homer off Bo Belinsky who had tossed a ""no-no"" of his own in his last start against the Baltimore Orioles.",https://www.baseball-almanac.com/yearly/yr1962n.shtml,64
1962,5,"On February 1, 1962, the National League released its first 162-game schedule, including a record 421 scheduled night games, up from 318 in 1961.",https://www.baseball-almanac.com/yearly/yr1962n.shtml,65
1962,6,"The Houston Colt 45s, one of the National Leagues two new teams (New York Mets), opened with an impressive 11-2 triumph over the Chicago Cubs before a crowd of over 25,000. Roman Mejias set the pace with two, three-run home runs and Hal Smith followed close behind debuting with a round-tripper of his own.",https://www.baseball-almanac.com/yearly/yr1962n.shtml,66
1962,7,"Stan Musial set a National League record (previously held by Mel Ott) after scoring for the 1,806th time in his career during a St. Louis Cardinals win over the Chicago Cubs on April 13th. Later in the season Musial became the leagues all-time leader in total bases with 5,864 during a June 22nd outing against the Philadelphia Phillies.",https://www.baseball-almanac.com/yearly/yr1962n.shtml,67
1962,8,"On September 7th, Los Angeles Dodger Maury Wills stole four bases off the Pittsburgh Pirates setting a National League record for eighty-two ""robberies"" in a single season.",https://www.baseball-almanac.com/yearly/yr1962n.shtml,68
1962,9,"John ""Buck"" O'Neil became the first African-American coach in Major League baseball after joining the staff of the Chicago Cubs. O'Neil had been a scout for the Cubs organization previously and was credited with discovering both Ernie Banks and Lou Brock.",https://www.baseball-almanac.com/yearly/yr1962n.shtml,69
1962,10,"Baseball's newest franchise, the New York Mets, debuted in what some referred to as ""copycat uniforms"" that featured Dodger blue sleeves, Giants orange lettering and Yankee pinstripes. Unfortunately the Mets played as bad as they looked and finished their inaugural season with a laughable 40-120 record.",https://www.baseball-almanac.com/yearly/yr1962n.shtml,70
1962,11,"After several years of ""double-headers"", both players and owners agreed to return the All-Star Game to its original, one-game format in 1963.",https://www.baseball-almanac.com/yearly/yr1962n.shtml,71
1962,12,"Kansas City owner Charles Finley hired the first woman in baseball broadcasting. Betty Caywood was brought in initially to do ""color-commentary"" for the A's games, but later became the first female to regularly announce baseball games while airing her reports from both the dugout and the stands.",https://www.baseball-almanac.com/yearly/yr1962n.shtml,72
1962,13,"""When I go back in my mind to our play in 1962, I just wonder how we ever got to win 40 games."" - New York Mets manager Casey Stengel",https://www.baseball-almanac.com/yearly/yr1962n.shtml,73
1962,14,← 1961 | 1962 Hitting Statistics League Leaders | 1963 →,https://www.baseball-almanac.com/yearly/yr1962n.shtml,74
1962,15,← 1961 | 1962 Pitching Statistics League Leaders | 1963 →,https://www.baseball-almanac.com/yearly/yr1962n.shtml,75
1962,16,1962 All-Star Game | 1962 Team Standings | 1962 World Series,https://www.baseball-almanac.com/yearly/yr1962n.shtml,76
1962,17,Hitting Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1962n.shtml,77
1962,18,Pitching Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1962n.shtml,78
1962,19,"Did you know that on June 30, 1962, Sandy Koufax of the Los Angeles Dodgers pitched his first career no-hit game? Do you also know what number Koufax ranks all-time in terms of career no-hitters thrown?",https://www.baseball-almanac.com/yearly/yr1962n.shtml,79
1962,20,"On July 25, 1962, Stan Musial drove in two runs with a blast to left field giving him a new National League record — 1,862 career runs batted in! [RBI Records]",https://www.baseball-almanac.com/yearly/yr1962n.shtml,80
1962,21,"162-Game Schedule | The Daily Oklahoman | February 2, 1962 | Page 30",https://www.baseball-almanac.com/yearly/yr1962n.shtml,82
1962,22,"Warren Spahn, on September 29, 1962, defeated the visiting Pittsburgh Pirates 4-3 and won his 327th career game to become the winningest left-handed pitcher in Major League history. [Wins Records]",https://www.baseball-almanac.com/yearly/yr1962n.shtml,83
1962,1,"In February, astronaut Alan Shepard became the first American in orbit and John Glenn followed later that year as the first to travel into space after a fifteen minute flight on July 21st. Both missions were in preparation of meeting President Kennedy's goal of landing a man on the moon by the end of the decade.",https://www.baseball-almanac.com/yearly/yr1962a.shtml,60
1962,12,"""As his teammates rushed out of the dugout, and the home crowd went wild (no-hitter being tossed), (Bo) Belinsky pointed to the stands and said to his catcher Buck Rodgers, 'Hey look at that blonde.' "" - Steve Wulf in Baseball Anecdotes (1981)",https://www.baseball-almanac.com/yearly/yr1962a.shtml,72
1962,18,"On April 9, 1962, President John F. Kennedy threw out the Opening Day pitch in the newly opened $20 million District of Columbia Stadium. The Washington Senators won versus the Detroit Tigers 4-1, but finished the season with more than 100 losses.",https://www.baseball-almanac.com/yearly/yr1962a.shtml,78
1962,19,"On May 5, 1962, Bo Belinsky pitched the Angels first ever no-hit game and the first in the American League since 1958! After the game reporters asked him what it was like and Belinsky replied, ""If I'd known I was gonna pitch a no-hitter today, I would have gotten a haircut.""",https://www.baseball-almanac.com/yearly/yr1962a.shtml,79
1963,1,"On November 22nd, President John F. Kennedy was shot and killed as he rode through the streets of Dallas, Texas aboard the presidential motorcade. Lee Harvey Oswald was later identified as the lone assassin although his guilt was never proven in a court of law. While in police custody, Oswald himself was shot and killed by nightclub owner Jack Ruby.",https://www.baseball-almanac.com/yearly/yr1963a.shtml,60
1963,2,"As a first step toward ending the ""Cold War"", a test ban agreement between the United States and the Soviet Union was ratified by the Senate on October 10. The contract between the world's two superpowers prohibited any future above ground testing of nuclear weapons of mass destruction.",https://www.baseball-almanac.com/yearly/yr1963a.shtml,61
1963,3,Detroit Tiger Billy Bruton tied a Major League record for most doubles in a single game after hitting four straight to top the Washington Senators 5-1 on May 19th. Teammate and rookie pitcher Bill Faul matched Bruton's efforts on the mound while tossing a three hitter in his first Major League start.,https://www.baseball-almanac.com/yearly/yr1963a.shtml,62
1963,4,"Cleveland pitcher Early Wynn finally won his 300th (and final) game thanks to a little help from the Indian's bullpen. After losing eight straight and struggling through five innings during the second half of a Kansas City doubleheader, Wynn was replaced by relief man Jerry Walker who tossed four scoreless sides en route to a 7-4 win over the Athletics.",https://www.baseball-almanac.com/yearly/yr1963a.shtml,64
1963,5,"Chicago Cubs first baseman Ernie Banks became the first National League player to tally twenty-two putouts (and twenty-three chances) in a game, during a May 9th, 3-1 victory over the Pittsburgh Pirates.",https://www.baseball-almanac.com/yearly/yr1963a.shtml,65
1963,6,"On June 15th, Juan Marichal set two records after becoming the first Latin American pitcher AND only the second Giant (Carl Hubbell, 1929) to pitch a no-hitter during a 1-0 triumph over the Houston Colt 45s (Astros) at Candlestick Park.",https://www.baseball-almanac.com/yearly/yr1963a.shtml,66
1963,7,"Milwaukee Brave veteran Warren Spahn topped the National League record for most starts (previously held by Grover Alexander) with his 601st appearance on the mound during a 6-1 win over the Los Angeles Dodgers on August 23rd. Later in the season Spahn tied Christy Mathewson's National League record with his thirteenth, twenty-win season and became the oldest to do so at age forty-two.",https://www.baseball-almanac.com/yearly/yr1963a.shtml,67
1963,8,"The Major League Rules Committee voted to expand the strike zone, extending it from the top of the shoulders to the bottom of the knees restoring its original pre-1950 specifications.",https://www.baseball-almanac.com/yearly/yr1963a.shtml,68
1963,9,"On September 6th, Major League Baseball celebrated its 100,000th game with a classic match-up between the Cleveland Indians and Washington Senators at D.C. Stadium.",https://www.baseball-almanac.com/yearly/yr1963a.shtml,69
1963,10,St. Louis Cardinals' slugger Stan Musial made a record 24th All-Star Game appearance as his National League teammates combined to beat their American League counterparts 5-3 in the Midsummer Classic.,https://www.baseball-almanac.com/yearly/yr1963a.shtml,70
1963,11,"Houston Colt 45s (Astros) manager Harry Craft shocked the New York Mets after starting an all-rookie line-up during a September 27th contest. Fifteen rookies appeared in all, but were bested by the older and wiser Mets who ""mentored"" them with a 10-3 lesson in experience.",https://www.baseball-almanac.com/yearly/yr1963a.shtml,71
1963,12,"""I can see how he (Sandy Koufax) won 25 games, but what I can't understand is how he lost five."" - Yogi Berra in 1963 World Series",https://www.baseball-almanac.com/yearly/yr1963a.shtml,72
1963,13,← 1962 | 1963 Hitting Statistics League Leaders | 1964 →,https://www.baseball-almanac.com/yearly/yr1963a.shtml,73
1963,14,← 1962 | 1963 Pitching Statistics League Leaders | 1964 →,https://www.baseball-almanac.com/yearly/yr1963a.shtml,74
1963,15,1963 All-Star Game | 1963 Team Standings | 1963 World Series,https://www.baseball-almanac.com/yearly/yr1963a.shtml,75
1963,16,Hitting Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1963a.shtml,76
1963,17,Pitching Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1963a.shtml,77
1963,18,"On June 19, 1963, Gates Brown hit a home run in his first Major League at-bat making him the first American League black player to join this unique set of long ball hitters.",https://www.baseball-almanac.com/yearly/yr1963a.shtml,78
1963,19,"After eight long failed starts, Early Wynn finally joined the elite 300 Wins Club on July 13, 1963. The forty-three year-old righthander (who began his Major League career in 1939) went five innings, struck out three batters, walked three, and gave up six hits in a 7-4 victory over the Kansas City Athletics.",https://www.baseball-almanac.com/yearly/yr1963a.shtml,79
1963,20,"Have you ever wondered about errorless streaks by a team? On August 7, 1963, the Detroit Tigers played their 12th consecutive game without an error — a new Major League record for that time.",https://www.baseball-almanac.com/yearly/yr1963a.shtml,80
1963,12,"""That way I can see where I've been (on why he ran around the bases facing backwards after hitting his 100th career home run). I always know where I'm going."" - Piersall, Jimmy. Post Game Press Conference. 23 June 1963.",https://www.baseball-almanac.com/yearly/yr1963n.shtml,72
1963,18,"On April 11, 1963, it all started with a triple - that particular triple was the first hit for future Hit King Pete Rose and the pitcher who served it up was Bob Friend of the Pittsburgh Pirates.",https://www.baseball-almanac.com/yearly/yr1963n.shtml,78
1963,19,"The extremely high temperatures in Houston, Texas set the stage for the first ever Sunday night game. The historic event took place on June 9, 1963, at Colt Stadium where the Houston Colt .45s defeated the San Francisco Giants 3-0.",https://www.baseball-almanac.com/yearly/yr1963n.shtml,79
1963,20,"Several trivia experts know that when Felipe Alou, Jesus Alou, and Matty Alou appeared in the San Francisco Giants outfield together on September 6, 1963, it was a Major League first. However, did you know that 4 days later they set an even more unique record when they became the first trio of brothers to record all three outs during the same inning (8th inning versus the New York Mets).",https://www.baseball-almanac.com/yearly/yr1963n.shtml,80
1964,1,"On February 9th, the British rock group The Beatles arrived in America for an appearance on the Ed Sullivan Show. It was the ""Fab 4's"" first trip to the United States and introduced their unique sound and stylish appearance to millions of American teenagers. By the week of April 4th, The Beatles had taken over the radio airways and held the top five slots on the American pop charts.",https://www.baseball-almanac.com/yearly/yr1964n.shtml,59
1964,2,"The highly contested and still criticized Warren Commission delivered its final report on September 27th concluding that President John F. Kennedy's assassin, Lee Harvey Oswald, had acted alone and on his own recourse.",https://www.baseball-almanac.com/yearly/yr1964n.shtml,60
1964,3,"American's first computer dynasty International Business Machines (also known as IBM) introduced the first 360 Computer, which was defined as a second-generation system based on transistors. The groundbreaking machine was instantly heralded as a huge success and became the standard for computers of many businesses for many years.",https://www.baseball-almanac.com/yearly/yr1964n.shtml,61
1964,4,"Decades before the ""Roberto Alomar incident"" Golden Glove first baseman Vic Power of the California Angels was suspended for ten days and fined $250 after spitting on umpire Jim Honochick during a doubleheader loss to the Chicago White Sox.",https://www.baseball-almanac.com/yearly/yr1964n.shtml,63
1964,5,"On April 6th, ""Shea Stadium"" was officially dedicated as the New York Mets ballpark. The $25 million dollar facility was named after William A. Shea who christened baseball's newest cathedral by pouring a mixture of water from the Harlem River (near the old Polo Grounds) and the Gowanus Canal (near the site of Ebbets Field) over the infield in a pre-game ceremony.",https://www.baseball-almanac.com/yearly/yr1964n.shtml,66
1964,6,"The St. Louis Cardinals became only the second team in the modern era (1923 Giants) to score at least one run in every inning while rolling over the Chicago Cubs during a September 13th outing at Wrigley Field. ""Redbirds"" Lou Brock and Julian Javier led the rally with one homer each and Curt Simmons topped Dick Ellsworth on the mound for the 15-2 win.",https://www.baseball-almanac.com/yearly/yr1964n.shtml,67
1964,7,Subscription television for baseball games debuted on July 17th as the first pay cablecast (a night game between the LA Dodgers and Chicago Cubs) was broadcasted live from Los Angeles. The home team emerged as 3-2 winners thanks to the solid arm of Don Drysdale who sat down ten batters.,https://www.baseball-almanac.com/yearly/yr1964n.shtml,68
1964,8,The National League avoided an umpires' strike by agreeing with the officials on a new five-year contract that increased both pensions and insurance payments.,https://www.baseball-almanac.com/yearly/yr1964n.shtml,69
1964,9,← 1963 | 1964 Hitting Statistics League Leaders | 1965 →,https://www.baseball-almanac.com/yearly/yr1964n.shtml,73
1964,10,← 1963 | 1964 Pitching Statistics League Leaders | 1965 →,https://www.baseball-almanac.com/yearly/yr1964n.shtml,74
1964,11,1964 All-Star Game | 1964 Team Standings | 1964 World Series,https://www.baseball-almanac.com/yearly/yr1964n.shtml,75
1964,12,Hitting Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1964n.shtml,76
1964,13,Pitching Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1964n.shtml,77
1964,14,"On April 23, 1964, Ken Johnson of the Houston Colt .45s had no luck going his way when he pitched nine no-hit innings versus the Cincinnati Reds, but lost the game 0-1.",https://www.baseball-almanac.com/yearly/yr1964n.shtml,78
1964,15,"What major event took place in 1964 that had not occurred during a regular season game in more than 40 years? A perfect game and it was tossed on Father's Day (June 21, 1964) by Jim Bunning.",https://www.baseball-almanac.com/yearly/yr1964n.shtml,79
1964,16,"On September 13, 1964, the St. Louis Cardinals scored at least one run during every inning to become the sixth National League team to record such a feat - a feat that is listed in its entirety in our Record Books section.",https://www.baseball-almanac.com/yearly/yr1964n.shtml,80
1964,9,"""It was pretty somber. Yogi said, 'Hey (Phil) Linz, shove that (harmonica) right up you #*@.' I didn't hear him so I asked Mickey (Mantle) what Yogi had said and Mick said, 'He said play it louder.' So I did. Yogi went berserk and came charging to the back of the bus, enraged. Mick couldn't stop laughing."" - Phil Linz in the New York Daily News (August 21, 1964)",https://www.baseball-almanac.com/yearly/yr1964a.shtml,72
1964,15,"On May 2, 1964, Tony Oliva, Bob Allison, Jimmie Hall, and Harmon Killebrew (in that order) each hit a home run during the eleventh inning making the Twins only the third team to accomplish the feat to date.",https://www.baseball-almanac.com/yearly/yr1964a.shtml,78
1964,16,"On August 12, 1964, Mickey Mantle hit switch hit home runs during the same game for the tenth time in his career - a new Major League record. The first blast cleared the 461-foot marker, carried over the 22 foot screen, and landed approximately 14 rows into the bleachers. A reporter told Mantle after the game that the ball traveled 502 feet and Mantle replied, ""Aw, I didn't hit it all that good.""",https://www.baseball-almanac.com/yearly/yr1964a.shtml,79
1964,17,"On September 30, 1954, Luis Tiant and Sam McDowell struck out seventeen Boston Red Sox batters during a doubleheader at Fenway Park. The Indians won both ends and set a new American League record for team strikeouts during a single season.",https://www.baseball-almanac.com/yearly/yr1964a.shtml,80
1965,1,"Construction on the nation's tallest memorial, the Gateway Arch, was finally completed after a four-year span. The six-hundred thirty feet high, stainless steel structure was originally designed by architect Eero Saarinen in 1947 for the Expansion Memorial Park which was established on the banks of the Mississippi River to commemorate the westward growth of the United States.",https://www.baseball-almanac.com/yearly/yr1965a.shtml,61
1965,2,"New York Yankees ace Mel Stottlemyre became the first pitcher in fifty-five years to hit an inside-the-park home run during a 6-3 win over their American League rivals, the Boston Red Sox, on July 20th.",https://www.baseball-almanac.com/yearly/yr1965a.shtml,62
1965,3,"Bert Campaneris, of the Kansas City Athletics, set an unprecedented Major League record by playing all nine positions during a September 8th outing against the California Angels. Campaneris allowed just one run (on a hit) and two walks while on the mound, but went 0-for-3 at the plate. Despite the ""one man show"" the Angels went on to win it, 5-3 after thirteen innings.",https://www.baseball-almanac.com/yearly/yr1965a.shtml,63
1965,4,"Shortstop Ron Hanson of the Chicago White Sox tied a Major League record with twenty-eight fielding chances during a double-header against the Boston Red Sox. Hanson handled eighteen shots in the first contest, setting an American League record, and ten more in the nightcap. Chicago, like their shortstop, came out on top in both games with matching 3-2 victories.",https://www.baseball-almanac.com/yearly/yr1965a.shtml,64
1965,5,"On April 9th, the $31 million dollar, ultramodern indoor ballpark known as the ""Astrodome"" debuted with an exhibition game between the Houston Astros and the New York Yankees. President Lyndon B. Johnson and Texas Governor John Connally were among the 47,000+ plus fans who witnessed the first ever, indoor home run courtesy of Mickey Mantle.",https://www.baseball-almanac.com/yearly/yr1965a.shtml,65
1965,6,"Chicago ""Cubbie"" Ernie Banks slugged his four-hundredth career homer during a 5-3 triumph over Curt Simmons and the St. Louis Cardinals at Wrigley Field.",https://www.baseball-almanac.com/yearly/yr1965a.shtml,66
1965,7,"San Francisco slugger Willie Mays became the fifth member of the ultra-exclusive ""500 Home Runs Club"" after paying the membership dues off Don Nottebart during a 5-1 Giants victory over the Houston Astros at the Astrodome.",https://www.baseball-almanac.com/yearly/yr1965a.shtml,67
1965,8,Baseball's first free-agent draft was held at the Hotel Commodore in New York City resulting in three-hundred twenty players being selected by twenty Major League teams. It was later determined that the draft would continue to take place every June and January with teams selecting prospects in the reverse order of the league standings.,https://www.baseball-almanac.com/yearly/yr1965a.shtml,68
1965,9,"One of baseball's greatest left-handed aces, Warren Spahn announced his retirement after an amazing twenty-one seasons. Spahn walked away from the game with a 363-245 career record and a lifetime ERA of 3.09. He also ranked as number six on the all-time list with sixty-three shutouts and thirteen, twenty-win seasons.",https://www.baseball-almanac.com/yearly/yr1965a.shtml,69
1965,10,"On December 9th, Branch Rickey, the man who helped Jackie Robinson break through baseball's color barrier by signing him with the Brooklyn Dodgers, died at the age of eighty-three.",https://www.baseball-almanac.com/yearly/yr1965a.shtml,70
1965,11,"Los Angeles Dodgers ace Sandy Koufax became the first two-time recipient of the Cy Young Award. Unfortunately, he would manage only one more season (where he became the first three-time recipient) before retiring with an astounding 165-87 record over a twelve year period.",https://www.baseball-almanac.com/yearly/yr1965a.shtml,71
1965,12,← 1964 | 1965 Hitting Statistics League Leaders | 1966 →,https://www.baseball-almanac.com/yearly/yr1965a.shtml,73
1965,13,← 1964 | 1965 Pitching Statistics League Leaders | 1966 →,https://www.baseball-almanac.com/yearly/yr1965a.shtml,74
1965,14,1965 All-Star Game | 1965 Team Standings | 1965 World Series,https://www.baseball-almanac.com/yearly/yr1965a.shtml,75
1965,15,Hitting Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1965a.shtml,76
1965,16,Pitching Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1965a.shtml,77
1965,17,"On June 20, 1965, Tigers superstar Al Kaline hit a single and drove in two runs versus the Athletics. Kaline helped his team overcome an eight run deficit, but he will remember this day more as the game in which he had career RBI number one-thousand.",https://www.baseball-almanac.com/yearly/yr1965a.shtml,78
